time_ps,mindist_nm
2.884000e+04,1.333942e-01
2.885000e+04,1.332066e-01
2.886000e+04,1.328983e-01
2.887000e+04,1.308205e-01
2.888000e+04,1.323141e-01
2.889000e+04,1.324728e-01
2.890000e+04,1.334841e-01
2.891000e+04,1.341119e-01
2.892000e+04,1.324272e-01
2.893000e+04,1.337946e-01
2.894000e+04,1.286935e-01
2.895000e+04,1.304072e-01
2.896000e+04,1.272831e-01
2.897000e+04,1.366528e-01
2.898000e+04,1.328647e-01
2.899000e+04,1.338133e-01
2.900000e+04,1.360111e-01
2.901000e+04,1.341716e-01
2.902000e+04,1.333753e-01
2.903000e+04,1.284599e-01
2.904000e+04,1.322800e-01
2.905000e+04,1.298807e-01
2.906000e+04,1.337871e-01
2.907000e+04,1.336936e-01
2.908000e+04,1.355323e-01
2.909000e+04,1.340487e-01
2.910000e+04,1.318369e-01
2.911000e+04,1.346812e-01
2.912000e+04,1.308548e-01
2.913000e+04,1.305487e-01
2.914000e+04,1.332818e-01
2.915000e+04,1.333643e-01
2.916000e+04,1.340597e-01
2.917000e+04,1.275971e-01
2.918000e+04,1.304799e-01
2.919000e+04,1.317158e-01
2.920000e+04,1.305066e-01
2.921000e+04,1.344990e-01
2.922000e+04,1.310419e-01
2.923000e+04,1.318104e-01
2.924000e+04,1.340933e-01
2.925000e+04,1.346329e-01
2.926000e+04,1.265662e-01
2.927000e+04,1.309811e-01
2.928000e+04,1.326084e-01
2.929000e+04,1.338247e-01
2.930000e+04,1.364224e-01
2.931000e+04,1.316587e-01
2.932000e+04,1.366528e-01
2.933000e+04,1.332744e-01
2.934000e+04,1.325559e-01
2.935000e+04,1.336002e-01
2.936000e+04,1.318219e-01
2.937000e+04,1.335104e-01
2.938000e+04,1.370146e-01
2.939000e+04,1.270040e-01
2.940000e+04,1.337985e-01
2.941000e+04,1.335363e-01
2.942000e+04,1.317118e-01
2.943000e+04,1.340823e-01
2.944000e+04,1.322459e-01
2.945000e+04,1.339924e-01
2.946000e+04,1.288217e-01
2.947000e+04,1.324124e-01
2.948000e+04,1.330376e-01
2.949000e+04,1.349742e-01
2.950000e+04,1.317727e-01
2.951000e+04,1.344655e-01
2.952000e+04,1.315978e-01
2.953000e+04,1.357939e-01
2.954000e+04,1.330639e-01
2.955000e+04,1.333755e-01
2.956000e+04,1.331955e-01
2.957000e+04,1.336561e-01
2.958000e+04,1.331991e-01
2.959000e+04,1.327782e-01
2.960000e+04,1.310382e-01
2.961000e+04,1.339366e-01
2.962000e+04,1.339028e-01
2.963000e+04,1.333154e-01
2.964000e+04,1.333792e-01
2.965000e+04,1.298384e-01
2.966000e+04,1.359928e-01
2.967000e+04,1.333904e-01
2.968000e+04,1.341679e-01
2.969000e+04,1.319623e-01
2.970000e+04,1.326424e-01
2.971000e+04,1.296070e-01
2.972000e+04,1.324160e-01
2.973000e+04,1.335703e-01
2.974000e+04,1.332143e-01
2.975000e+04,1.333003e-01
2.976000e+04,1.288331e-01
2.977000e+04,1.317005e-01
2.978000e+04,1.338468e-01
2.979000e+04,1.344433e-01
2.980000e+04,1.353661e-01
2.981000e+04,1.276714e-01
2.982000e+04,1.302498e-01
2.983000e+04,1.324348e-01
2.984000e+04,1.317386e-01
2.985000e+04,1.319470e-01
2.986000e+04,1.307517e-01
2.987000e+04,1.331240e-01
2.988000e+04,1.358088e-01
2.989000e+04,1.358307e-01
2.990000e+04,1.333941e-01
2.991000e+04,1.311373e-01
2.992000e+04,1.319432e-01
2.993000e+04,1.322723e-01
2.994000e+04,1.323102e-01
2.995000e+04,1.272044e-01
2.996000e+04,1.321403e-01
2.997000e+04,1.364259e-01
2.998000e+04,1.327971e-01
2.999000e+04,1.336190e-01
3.000000e+04,1.331391e-01
3.001000e+04,1.308471e-01
3.002000e+04,1.331954e-01
3.003000e+04,1.304990e-01
3.004000e+04,1.278985e-01
3.005000e+04,1.327291e-01
3.006000e+04,1.324009e-01
3.007000e+04,1.308243e-01
3.008000e+04,1.348667e-01
3.009000e+04,1.326688e-01
3.010000e+04,1.352184e-01
3.011000e+04,1.320643e-01
3.012000e+04,1.310914e-01
3.013000e+04,1.337573e-01
3.014000e+04,1.313698e-01
3.015000e+04,1.363049e-01
3.016000e+04,1.313620e-01
3.017000e+04,1.335554e-01
3.018000e+04,1.339291e-01
3.019000e+04,1.343168e-01
3.020000e+04,1.312098e-01
3.021000e+04,1.347626e-01
3.022000e+04,1.350631e-01
3.023000e+04,1.308779e-01
3.024000e+04,1.304186e-01
3.025000e+04,1.342611e-01
3.026000e+04,1.338881e-01
3.027000e+04,1.339028e-01
3.028000e+04,1.290310e-01
3.029000e+04,1.330941e-01
3.030000e+04,1.325557e-01
3.031000e+04,1.312136e-01
3.032000e+04,1.332741e-01
3.033000e+04,1.318296e-01
3.034000e+04,1.307936e-01
3.035000e+04,1.357166e-01
3.036000e+04,1.341044e-01
3.037000e+04,1.358271e-01
3.038000e+04,1.316246e-01
3.039000e+04,1.305451e-01
3.040000e+04,1.361505e-01
3.041000e+04,1.334652e-01
3.042000e+04,1.326084e-01
3.043000e+04,1.356983e-01
3.044000e+04,1.331276e-01
3.045000e+04,1.302346e-01
3.046000e+04,1.301576e-01
3.047000e+04,1.333680e-01
3.048000e+04,1.328607e-01
3.049000e+04,1.300576e-01
3.050000e+04,1.342275e-01
3.051000e+04,1.326763e-01
3.052000e+04,1.268108e-01
3.053000e+04,1.336151e-01
3.054000e+04,1.340260e-01
3.055000e+04,1.353364e-01
3.056000e+04,1.334053e-01
3.057000e+04,1.320682e-01
3.058000e+04,1.321514e-01
3.059000e+04,1.337947e-01
3.060000e+04,1.289496e-01
3.061000e+04,1.288217e-01
3.062000e+04,1.320377e-01
3.063000e+04,1.289187e-01
3.064000e+04,1.329248e-01
3.065000e+04,1.324388e-01
3.066000e+04,1.298153e-01
3.067000e+04,1.294526e-01
3.068000e+04,1.323066e-01
3.069000e+04,1.304224e-01
3.070000e+04,1.293599e-01
3.071000e+04,1.306829e-01
3.072000e+04,1.278632e-01
3.073000e+04,1.388561e-01
3.074000e+04,1.332968e-01
3.075000e+04,1.310307e-01
3.076000e+04,1.344954e-01
3.077000e+04,1.335441e-01
3.078000e+04,1.331541e-01
3.079000e+04,1.302423e-01
3.080000e+04,1.369854e-01
3.081000e+04,1.355949e-01
3.082000e+04,1.320646e-01
3.083000e+04,1.313811e-01
3.084000e+04,1.312442e-01
3.085000e+04,1.318483e-01
3.086000e+04,1.315066e-01
3.087000e+04,1.305413e-01
3.088000e+04,1.347479e-01
3.089000e+04,1.354806e-01
3.090000e+04,1.350742e-01
3.091000e+04,1.342273e-01
3.092000e+04,1.298808e-01
3.093000e+04,1.339589e-01
3.094000e+04,1.374629e-01
3.095000e+04,1.336901e-01
3.096000e+04,1.330450e-01
3.097000e+04,1.273459e-01
3.098000e+04,1.316205e-01
3.099000e+04,1.355949e-01
3.100000e+04,1.322498e-01
3.101000e+04,1.318711e-01
3.102000e+04,1.313508e-01
3.103000e+04,1.330976e-01
3.104000e+04,1.336749e-01
3.105000e+04,1.338135e-01
3.106000e+04,1.322347e-01
3.107000e+04,1.347479e-01
3.108000e+04,1.317801e-01
3.109000e+04,1.317609e-01
3.110000e+04,1.329209e-01
3.111000e+04,1.328496e-01
3.112000e+04,1.343837e-01
3.113000e+04,1.298808e-01
3.114000e+04,1.327932e-01
3.115000e+04,1.334691e-01
3.116000e+04,1.359632e-01
3.117000e+04,1.343653e-01
3.118000e+04,1.265660e-01
3.119000e+04,1.304070e-01
3.120000e+04,1.274714e-01
3.121000e+04,1.361838e-01
3.122000e+04,1.313850e-01
3.123000e+04,1.329438e-01
3.124000e+04,1.298385e-01
3.125000e+04,1.322157e-01
3.126000e+04,1.287206e-01
3.127000e+04,1.289575e-01
3.128000e+04,1.343653e-01
3.129000e+04,1.314040e-01
3.130000e+04,1.336752e-01
3.131000e+04,1.320833e-01
3.132000e+04,1.312934e-01
3.133000e+04,1.327479e-01
3.134000e+04,1.334353e-01
3.135000e+04,1.337797e-01
